Metric,Threshold,Value
Correct,0.0,0.999239977199316
Incorrect,0.0,0.0007600228006840206
Correct,0.1,0.9849895496864906
Incorrect,0.1,0.015010450313509406
Correct,0.2,0.9422382671480144
Incorrect,0.2,0.05776173285198556
Correct,0.3,0.8842865285958579
Incorrect,0.3,0.11571347140414212
Correct,0.4,0.8223446703401102
Incorrect,0.4,0.1776553296598898
Correct,0.5,0.704921147634429
Incorrect,0.5,0.29507885236557096
Correct,0.6,0.5023750712521375
Incorrect,0.6,0.49762492874786246
Correct,0.7,0.2262967889036671
Incorrect,0.7,0.7737032110963329
Correct,0.8,0.01824054721641649
Incorrect,0.8,0.9817594527835835
Correct,0.9,0.0
Incorrect,0.9,1.0
